,Utterance,Cluster,Cluster Name
336,θέλω προσθέσω χρόνος ομιλία,0,αγορά χρόνου ομιλίας
337,αποπληρώσως λογαριασμός μου,3,ανάλυση λογαριασμού
338,θέλω βοήθεια,18,υπηρεσία
339,έχω βιντεοκλήση,13,βιντεοκλήση
340,επιθυμώ ανακαλύψω χρέος μου,10,χρέος
341,ακύρωση ραντεβού,5,ραντεβού
342,θέλω διακανονισμός,14,διακανονισμός οφειλής
343,κάνω ενεργοποίηση,14,διακανονισμός οφειλής
344,θέλω μου δώσετε κάποιος πληροφορία,1,ενημέρωση υπολοίπου
345,κλήσεις απόκρυψη,15,ανάλυση κλήσεων
346,νέο tablet,4,tablet
347,θέλω μου πείτε πότε πρέπει πληρώνω δόση διακανονισμός μου,10,χρέος
348,ενεργοποίηση ο βιντεοκλήση,13,βιντεοκλήση
349,θέλω ανανέωση,16,ανανέωση
350,καταγραφή παραπόνου,14,διακανονισμός οφειλής
351,αποπληρώσω τηλέφωνό μου,2,λογαριασμός κινητού
352,πώς μπορώ δω ανάλυση όλος κλήσεων μηνυμάτο,15,ανάλυση κλήσεων
353,πού βλέπω υπόλοιπος,1,ενημέρωση υπολοίπου
354,θέλω ακυρώσω ραντεβού έχω,5,ραντεβού
355,λογαριασμός κινητός,2,λογαριασμός κινητού
356,ενεργοποίηση πρόγραμμα μηνύματα,9,πρόγραμμα
357,θέλω ενημερωθώς απόκρυψη,1,ενημέρωση υπολοίπου
358,ποιον τρόπος κάνω αίτηση,7,αίτηση
359,λογαριασμός σταθερής internet,3,ανάλυση λογαριασμού
360,ποιον τρόπος μπορώ καταχωρήσω αίτημα,7,αίτηση
361,χρόνος ομιλία,0,αγορά χρόνου ομιλίας
362,είμαι χρέος μου,10,χρέος
363,ανάλυση κλήσεων,9,πρόγραμμα
364,πού μπω κάνω αίτημα διακανονισμός κινητός,2,λογαριασμός κινητού
365,ψάχνω βρως χρωστάω,10,χρέος
366,ενεργοποίηση πρόγραμμα χρόνος ομιλία,0,αγορά χρόνου ομιλίας
367,ενδιαφέρομαι ο λεπτομερής ανάλυση λογαριασμός,3,ανάλυση λογαριασμού
368,πόσος χρήμα οφείλω τελικά,10,χρέος
369,θέλω γίνομαι αποπληρωμή λογαριασμός τηλεφώνος μου,2,λογαριασμός κινητού
370,θέλω κάνω αποπληρωμή ο οφειλή σταθερού μου,14,διακανονισμός οφειλής
371,θέλω μάθω είμαι σύνολο οφειλώνς μου,10,χρέος
372,μου δείχνω αυτός επιλογή διακανονισμός,14,διακανονισμός οφειλής
373,θέλω κάνω ένας παράπονο,6,παράπονο
374,αλλαγή ραντεβού ενεργοποίηση,5,ραντεβού
375,χρειάζομαι βοήθεια hotspot,17,hotspot
376,λογαριασμός σταθερού,3,ανάλυση λογαριασμού
377,έχω επιλογή διακανονισμός,14,διακανονισμός οφειλής
378,θέλω υπηρεσία ο σύνδεση μου,18,υπηρεσία
379,ανάλυση κλήσεων λογαριασμός μου,3,ανάλυση λογαριασμού
380,θέλω χρόνος ομιλία,0,αγορά χρόνου ομιλίας
381,θέλω κάνω εξόφληση λογαριασμός κινητό μου,2,λογαριασμός κινητού
382,πώς μπορώ κάνω αίτημα,7,αίτηση
383,ανάλυση λογαριασμός,3,ανάλυση λογαριασμού
384,ζητώ απενεργοποιώ,19,απενεργοποίηση
385,κάνω πληρωμή λογαριασμός κινητό μου,2,λογαριασμός κινητού
386,χρειάζομαι ενημερωθώ σχετικά τρόπος υποβολή αίτηση,7,αίτηση
387,ρωτώ ενεργοποίηση,14,διακανονισμός οφειλής
388,μπορώ προχωρήσω διακανονισμός ο σύνδεση μου,14,διακανονισμός οφειλής
389,τo παραστατικός ο σύνδεση μου,14,διακανονισμός οφειλής
390,μάθω αναλυτικός λογαριασμός,3,ανάλυση λογαριασμού
391,θέλω γίνομαι αποπληρωμή ο οφειλή σταθερού μου,14,διακανονισμός οφειλής
392,έχω ανάγκη από πληροφορία,1,ενημέρωση υπολοίπου
393,επιθυμώ αγοράζω κάποιος πρόγραμμα μηνυμάτων,9,πρόγραμμα
394,αλλάξω ώρα ραντεβού μου,5,ραντεβού
395,βοήθεια λογαριασμός,3,ανάλυση λογαριασμού
396,πληροφορήσετε,14,διακανονισμός οφειλής
397,πώς μπορώ βλέπω ανάλυση όλη ο κίνηση έχω κάνω,15,ανάλυση κλήσεων
398,καταχωρήστε μου ένας αίτηση,7,αίτηση
399,κάνω εξόφληση παραστατικός σταθερού μου,14,διακανονισμός οφειλής
400,ιδιωτικός απόρρητο τηλεφώνου,2,λογαριασμός κινητού
401,θέλω αγοράζω πρόγραμμα ομιλία,0,αγορά χρόνου ομιλίας
402,θέλω κάνω εξόφληση λογαριασμός σταθερός μου,3,ανάλυση λογαριασμού
403,απενεργοποιηθεί,19,απενεργοποίηση
404,επιθυμώ βοήθεια,18,υπηρεσία
405,επιθυμώ πληροφορία,1,ενημέρωση υπολοίπου
406,χρειάζομαι πληρώσω λογαριασμός μου παίρνω ποσό πρέπει,3,ανάλυση λογαριασμού
407,διακανονισμός,14,διακανονισμός οφειλής
408,ανάλυση εξερχόμενων μηνυμάτων,9,πρόγραμμα
409,απενεργοποιώ,19,απενεργοποίηση
410,χρειάζομαι υπηρεσία,18,υπηρεσία
411,μάθω απενεργοποίηση,19,απενεργοποίηση
412,θέλω αποπληρώσως λογαριασμός μου,3,ανάλυση λογαριασμού
413,πώς μπορώ υποβάλω αίτηση,7,αίτηση
414,κάνω αποπληρωμή λογαριασμός τηλέφωνό μου,2,λογαριασμός κινητού
415,είμαι σύνολο οφειλώνς μου,10,χρέος
416,επιθυμώ καταθέσω αίτηση,7,αίτηση
417,θέλω μου απενεργοποιήσω,19,απενεργοποίηση
418,πώς μπορώ μιλώ κάποιος από πωλήσεις,12,τμήμα πωλήσεων
419,είμαι ποσό χρωστάω,10,χρέος
420,θέλω ενημερωθώ υπόλοιπος έχω από διακανονισμός,1,ενημέρωση υπολοίπου
421,θέλω δωρεάν χρόνος ομιλία,0,αγορά χρόνου ομιλίας
422,ενεργοποιήσετε,14,διακανονισμός οφειλής
423,θέλω πλήρης ανάλυση κλήσεων,15,ανάλυση κλήσεων
424,γίνομαι απόρρητος κινητό μου,2,λογαριασμός κινητού
425,θέλω κάνω εξόφληση ο οφειλή κινητού μου,2,λογαριασμός κινητού
426,θέλω αποπληρώσω τηλέφωνό μου,2,λογαριασμός κινητού
427,θέλω δω αναλυτικός κίνηση κινητός μου,2,λογαριασμός κινητού
428,πώς καλώ βιντεοκλήση,13,βιντεοκλήση
429,πώς μπορώ δω ανάλυση όλος κλήσεων μηνυμάτο,15,ανάλυση κλήσεων
430,κάνω αποπληρωμή ο οφειλή,14,διακανονισμός οφειλής
431,πότε λήγω φοιτητικός πακέτο,11,φοιτητικό πακέτο
432,ρωτώ απενεργοποίηση,19,απενεργοποίηση
433,δηλώσω απόρρητο κινητό μου,2,λογαριασμός κινητού
434,πόση έχω πια οφειλή μου,10,χρέος
435,θέλω κάνω αίτημα,7,αίτηση
436,έχω κάνω αίτηση ραντεβού,5,ραντεβού
437,θέλω γίνομαι εξόφληση ο οφειλή τηλεφώνου μου,2,λογαριασμός κινητού
438,υπηρεσία απόκρυψη κλήσεων,15,ανάλυση κλήσεων
439,κάνω πληρωμή ο οφειλή κινητού μου,2,λογαριασμός κινητού
440,ποιον τρόπος μπορώ καταθέσω αίτηση,7,αίτηση
441,ενδιαφέρομαι ενεργοποίηση,14,διακανονισμός οφειλής
442,κάνω εξόφληση ο οφειλή τηλεφώνου μου,2,λογαριασμός κινητού
443,πόσος χρέος έχω συνολικά,10,χρέος
444,καλημέρα αφορώ λογαριασμός μου,3,ανάλυση λογαριασμού
445,έχω κάπου οδηγία hotspot,17,hotspot
446,θέλω κάνω αγορά πρόγραμμα μηνυμάτο,9,πρόγραμμα
447,επιθυμώ δω ανάλυση κλήσεων,15,ανάλυση κλήσεων
448,πώς εμφανίζω αναλυτικός λογαριασμός,3,ανάλυση λογαριασμού
449,θέλω αγοράζω χρόνος ομιλία,0,αγορά χρόνου ομιλίας
450,κωδικός έχω tethering,8,tethering
451,πόσο είμαι επιδότηση μου,10,χρέος
452,λογαριασμός ο σύνδεση μου,3,ανάλυση λογαριασμού
453,από πού μπορώ ενημερωθώ χρέος μου,10,χρέος
454,χρόνος μιλάως,0,αγορά χρόνου ομιλίας
455,πώς μπορώ ενημερωθώ τρόπος μπορώ γίνομαι αίτηση,7,αίτηση
456,θέλω ενημερωθώ αναλυτικός λογαριασμός κινητό,2,λογαριασμός κινητού
457,θέλω ενημερωθώ υπηρεσία,18,υπηρεσία
458,ενδιαφέρομαι εγώ απενεργοποιήσω,19,απενεργοποίηση
459,αναφορά παραπόνου,14,διακανονισμός οφειλής
460,γίνομαι απόρρητος τηλέφωνος,2,λογαριασμός κινητού
461,ενημερωθώ βιντεοκλήσεις,13,βιντεοκλήση
462,ανάλυση εισερχόμενος κλήσεων,9,πρόγραμμα
463,πόσο χρωστάω,10,χρέος
464,θέλω υποβάλω αίτηση,7,αίτηση
465,εξοφλήσω σταθερός μου,14,διακανονισμός οφειλής
466,θέλω μάθω λεπτομέρεια σχετικά διακανονισμός,1,ενημέρωση υπολοίπου
467,ενδιαφέρομαι αποκτήσω ένας νέος tablet,4,tablet
468,λογαριασμός ο σύνδεση μου,3,ανάλυση λογαριασμού
469,επιθυμώ μιλώ πωλήσεις,12,τμήμα πωλήσεων
470,ενημερωθώ παρών κατάσταση υπολοίπου μου,1,ενημέρωση υπολοίπου
471,θέλω κάνω κινητό μου απόρρητο,2,λογαριασμός κινητού
472,επιθυμώ ενημέρωση,1,ενημέρωση υπολοίπου
473,πώς μπορώ κάνω διακανονισμός κινητός,2,λογαριασμός κινητού
474,πώς μπορώ καταχωρήσω αίτημα,7,αίτηση
475,θέλω αναφέρω παράπονο,6,παράπονο
476,βρίσκω ανοίξω hotspot συσκευή μου,17,hotspot
477,πού βρως πόσα χρωστάω,10,χρέος
478,πότε γίνομαι νέος ραντεβού,5,ραντεβού
479,από πού αλλάζω κωδικός tethering,8,tethering
480,θέλω ενημερώσω αναλυτικός λογαριασμός κινητό,2,λογαριασμός κινητού
481,επιθυμών μάθω πόσος δόση απομένω ακόμα διακανονισμός,14,διακανονισμός οφειλής
482,αγορά πρόγραμμα δεδομένο,9,πρόγραμμα
483,πώς κάνω hotspot,17,hotspot
484,ενημερώστε ανάλυση κλήσεων,9,πρόγραμμα
485,ανανεώσω θέλω,14,διακανονισμός οφειλής
486,βρήκα αναπάντητος σταθερός τηλέφωνο από εσάς,2,λογαριασμός κινητού
487,ενεργοποίηση,14,διακανονισμός οφειλής
488,θέλω πληροφορία,1,ενημέρωση υπολοίπου
489,πού μπορώ βρω χρέος μου,10,χρέος
490,θέλω βρως αναλυτικός λογαριασμός σταθερού,3,ανάλυση λογαριασμού
491,θέλω μιλώ ένας ραντεβού,5,ραντεβού
492,πληροφορηθώ,14,διακανονισμός οφειλής
493,λογαριασμός κινητός,2,λογαριασμός κινητού
494,δωρεάν χρόνος ομιλία,0,αγορά χρόνου ομιλίας
495,ενημέρωση απόκρυψη κλήσεων,15,ανάλυση κλήσεων
496,από πού αλλάζω κωδικός hotspot,17,hotspot
497,λογαριασμός σταθερού μου,3,ανάλυση λογαριασμού
498,θέλω ενημερωθώ πότε πρέπει πληρώνω δόση διακανονισμός μου,10,χρέος
499,θέλω ενεργοποιήσω πρόγραμμα ομιλία,0,αγορά χρόνου ομιλίας
500,είχα ένας κλήση τηλέφωνό μου από εσάς μου κάλεσα,2,λογαριασμός κινητού
501,θέλω δω αναλυτικά κίνηση κλήσεών μου,2,λογαριασμός κινητού
502,επιθυμώ προσθέσω χρόνος ομιλία,0,αγορά χρόνου ομιλίας
503,θέλω μου βάλετε χρόνος μιλάως,0,αγορά χρόνου ομιλίας
504,υπάρχω άλλος υπηρεσία πέρα από αυτός έχω,18,υπηρεσία
505,θέλω βάλω λεπτό ομιλία κάρτα,0,αγορά χρόνου ομιλίας
506,κάνω εξόφληση λογαριασμός,3,ανάλυση λογαριασμού
507,θέλω μάθω πότε πρέπει πληρώνω δόση διακανονισμός μου,10,χρέος
508,ενημέρωση υπηρεσία,18,υπηρεσία
509,υπόλοιπος έχω,1,ενημέρωση υπολοίπου
510,λειτουργία ο βιντεοκλήση,13,βιντεοκλήση
511,θέλω ενεργοποιηθεί,14,διακανονισμός οφειλής
512,θέλω καταχωρήσω αίτηση,7,αίτηση
513,θέλω παρακαλώ κάνω διακανονισμός ληξιπρόθεσμου τρέχοντος λογαριασμός μου,3,ανάλυση λογαριασμού
514,ποιος υπηρεσία έχω ήδη,18,υπηρεσία
515,πώς κάνω tethering ο συσκευή μου,8,tethering
516,θέλω ενημερωθώ οφειλόμενά μου,10,χρέος
517,τμήμα παραπόνων θέλω,14,διακανονισμός οφειλής
518,σχετικά λογαριασμός σταθερού,3,ανάλυση λογαριασμού
519,θέλω ενημερώσω αναλυτικός λογαριασμός σταθερός,3,ανάλυση λογαριασμού
520,λογαριασμός συμβολαίου μου,3,ανάλυση λογαριασμού
521,πού μπορώ δω οφειλή μου,10,χρέος
522,είμαι τελικός ποσό χρεών μου,10,χρέος
523,κάνω αποπληρωμή λογαριασμός,3,ανάλυση λογαριασμού
524,μπορώ προχωρήσω διακανονισμός σταθερού μου,14,διακανονισμός οφειλής
525,καινούργια υπηρεσία,18,υπηρεσία
526,χρήση ο υπηρεσία ο βιντεοκλήση,13,βιντεοκλήση
527,μάθω υπόλοιπος μου,1,ενημέρωση υπολοίπου
528,λογαριασμός μου,3,ανάλυση λογαριασμού
529,ζητώ ενεργοποιήσω,14,διακανονισμός οφειλής
530,επιθυμώ απενεργοποίηση,19,απενεργοποίηση
531,μου δείξω πού είμαι αναλυτικός λογαριασμός,3,ανάλυση λογαριασμού
532,εξοφλήσω τηλέφωνό μου,2,λογαριασμός κινητού
533,θέλω εκφράζω παράπονο,6,παράπονο
534,ανάλυση κλήσεων,9,πρόγραμμα
535,πού μπορώ κάνω αίτηση φοιτητικός,11,φοιτητικό πακέτο
536,επιθυμώ γνωρίζω οφειλή μου,14,διακανονισμός οφειλής
537,χρειάζομαι ανάλυση λογαριασμός μου,3,ανάλυση λογαριασμού
538,από πού κλείνω tethering,8,tethering
539,θέλω κάνω αποπληρωμή ο οφειλή κινητού μου,2,λογαριασμός κινητού
540,μου δείξω πώς κάνω hotspot,17,hotspot
541,λογαριασμός σύνδεση,3,ανάλυση λογαριασμού
542,θέλω δω ανάλυση κλήσεων,15,ανάλυση κλήσεων
543,θέλω αγοράζω χρόνος ομιλία προς κινητάς,0,αγορά χρόνου ομιλίας
544,θέλω δω ένας μερικός ανάλυση κλήσεων μου,15,ανάλυση κλήσεων
545,τo παραστατικός καρτοσυμβολαίο μου,14,διακανονισμός οφειλής
546,θέλω γίνομαι εξόφληση λογαριασμός σταθερό μου,3,ανάλυση λογαριασμού
547,θέλω γίνομαι εξόφληση παραστατικός τηλεφώνου μου,2,λογαριασμός κινητού
548,θέλω κάνω πληρωμή ο οφειλή κινητού μου,2,λογαριασμός κινητού
549,θέλω χρόνος λέω ο φίλος μου,0,αγορά χρόνου ομιλίας
550,ποιον τρόπος καταχωρήσω αίτηση,7,αίτηση
551,πού μπορώ δω χρέος μου,10,χρέος
552,θέλω γίνομαι αποπληρωμή ο οφειλή τηλεφώνου μου,2,λογαριασμός κινητού
553,θέλω κάνω μερικοί ερωτήσεις σχετικά διακανονισμός,1,ενημέρωση υπολοίπου
554,παροχή έχω φοιτητικός,11,φοιτητικό πακέτο
555,λέγω παράπονό μου,6,παράπονο
556,τo παραστατικός κινητού μου,2,λογαριασμός κινητού
557,καλώ τροποποιήζω ένας ραντεβού,5,ραντεβού
558,θέλω βάλω χρόνος ομιλία κάρτα,0,αγορά χρόνου ομιλίας
559,διακανονισμός ληξιπρόθεσμου,14,διακανονισμός οφειλής
560,θέλω μιλήσω τμήμα διακανονισμός λογαριασμός,3,ανάλυση λογαριασμού
561,πώς μπορώ βλέπω αναλυτικά κλήσεις λογαριασμός μου,3,ανάλυση λογαριασμού
562,επιθυμώ βάλω λεπτό ομιλία κάρτα,0,αγορά χρόνου ομιλίας
563,κάνω δήλωση σταθερού μου ως απόρρητος,14,διακανονισμός οφειλής
564,υπόλοιπος,1,ενημέρωση υπολοίπου
565,θέλω γίνομαι αποπληρωμή ο οφειλή κινητού μου,2,λογαριασμός κινητού
566,θέλω ρωτήσω πώς μπορώ κάνω φοιτητικός πακέτο,11,φοιτητικό πακέτο
567,λεπτός ομιλία,0,αγορά χρόνου ομιλίας
568,λογαριασμός κινητός μου,2,λογαριασμός κινητού
569,πώς κάνω διακανονισμός οφειλή,14,διακανονισμός οφειλής
570,πού είμαι υπόλοιπος,1,ενημέρωση υπολοίπου
571,χρειάζομαι βοήθεια ένας θέμα,18,υπηρεσία
572,έχω κάπου οδηγία tethering,8,tethering
573,ενημερώστε αναλυτικός λογαριασμός,3,ανάλυση λογαριασμού
574,πόσος χρήμα χρωστάω,10,χρέος
575,ενημέρωση αναλυτικός λογαριασμός,3,ανάλυση λογαριασμού
576,επιθυμώ κάνω αίτηση,7,αίτηση
577,θέλω μάθω πόσα χρωστάω,10,χρέος
578,είχα μιλώ πάρω ένας καινούργιος φοιτητικός πακέτο,11,φοιτητικό πακέτο
579,νέος υπηρεσία,18,υπηρεσία
580,ενεργοποίηση πρόγραμμα mb,9,πρόγραμμα
581,πληροφορηθώ υπόλοιπος μου,1,ενημέρωση υπολοίπου
582,αγορά πρόγραμμα δεδομένας,9,πρόγραμμα
583,θέλω βλέπω αναλυτικός λογαριασμός,3,ανάλυση λογαριασμού
584,βοηθήστε,18,υπηρεσία
585,έχω ενημερωθεί υπόλοιπος μου,1,ενημέρωση υπολοίπου
586,θέλω γίνομαι εξόφληση λογαριασμός τηλέφωνος μου,2,λογαριασμός κινητού
587,επιλέξω ένας υπηρεσία,18,υπηρεσία
588,είχα ένας κλήση σταθερός τηλέφωνό μου από εσάς,2,λογαριασμός κινητού
589,πληροφορία απόκρυψη κλήσεων,15,ανάλυση κλήσεων
590,θέλω γίνομαι εξόφληση ο οφειλή κινητού μου,2,λογαριασμός κινητού
591,επιθυμώ λεπτό ομιλία καρτοκινητό μου,0,αγορά χρόνου ομιλίας
592,θέλω ενεργοποιήσω,14,διακανονισμός οφειλής
593,κάνω εξόφληση ο οφειλή κινητού μου,2,λογαριασμός κινητού
594,θέλω εξοφλήσω κινητό μου,2,λογαριασμός κινητού
595,θέλω νέος διακανονισμός κινητό,2,λογαριασμός κινητού
596,θέλω ενημερωθώ χρέος μου,10,χρέος
597,ποιον τρόπος μπορώ υποβάλω αίτηση,7,αίτηση
598,ολοκλήρωση ο ανανέωση,16,ανανέωση
599,αποπληρώσως κινητό μου,2,λογαριασμός κινητού
600,θέλω μάθω εξόφληση λογαριασμός,3,ανάλυση λογαριασμού
601,θέλω ένας βοήθεια,18,υπηρεσία
602,ζητώ εγώ απενεργοποιήσω,19,απενεργοποίηση
603,επιθυμώ υποβάλω αίτηση,7,αίτηση
604,κωδικός έχω hotspot,17,hotspot
605,ενδιαφέρομαι ανανέωση,16,ανανέωση
606,πώς κάνω κινητό μου tethering,8,tethering
607,είμαι σύνολο χρεών μου,10,χρέος
608,θέλω γίνομαι εξόφληση παραστατικός tv εγώ,13,βιντεοκλήση
609,θέλω ενημερωθώς τρόπος μπορώ γίνομαι αίτηση,7,αίτηση
610,θέλω κάνω σταθερός μου απόρρητο,14,διακανονισμός οφειλής
611,υπηρεσία,18,υπηρεσία
612,θέλω κάνω διακανονισμός όλο αυτός χρωστάω,10,χρέος
613,ανάλυση εισερχομένων,9,πρόγραμμα
614,θέλω ενημέρωση,1,ενημέρωση υπολοίπου
615,θέλω κάνω διακανονισμός τηλεόραση γιατί αδυνατώς πληρώσω λογαριασμός,13,βιντεοκλήση
616,ενεργοποίηση hotspot,17,hotspot
617,επιθυμώ ενημερωθώ τρόπος μπορώ γίνομαι αίτηση,7,αίτηση
618,θέλω αποκτήσω επιπλέον λεπτό ομιλία μιλάως φίλος,0,αγορά χρόνου ομιλίας
619,οδηγία hotspot παρακαλώ,17,hotspot
620,μάθω πληροφορία,1,ενημέρωση υπολοίπου
621,αγορά πρόγραμμα μηνυμάτο,9,πρόγραμμα
622,θέλω συνδεθώ τμήμα πωλήσεων,12,τμήμα πωλήσεων
623,πώς ενεργοποιήσω tethering μέσω κινητού μου,8,tethering
624,γίνομαι ενεργοποίηση,14,διακανονισμός οφειλής
625,θέλω διακανονίζω ποσό μου χρωστάω,10,χρέος
626,επιθυμώ απενεργοποιήσως,19,απενεργοποίηση
627,πώς μπορώ δω ένας ανάλυση όλος κλήσεων μηνυμάτο,15,ανάλυση κλήσεων
628,δηλώσω σταθερό μου ως απόρρητος,14,διακανονισμός οφειλής
629,θέλω βοήθεια,18,υπηρεσία
630,θέλω μιλήσω τμήμα κάνω διακανονισμός,1,ενημέρωση υπολοίπου
631,μπορούσας έχω πρόσβαση ανάλυση λογαριασμός σταθερού,3,ανάλυση λογαριασμού
632,πώς ανοίγω hotspot,17,hotspot
633,θέλω υπηρεσία,18,υπηρεσία
634,ενημερώστε ανάλυση κλήσεων,9,πρόγραμμα
635,έχω μιλήνω ένας ραντεβού,5,ραντεβού
636,θέλω καταχωρήσω αίτηση,7,αίτηση
637,θέλω προσθέσω λεπτά ομιλία,0,αγορά χρόνου ομιλίας
638,κάτι πάει καλά hotspot,17,hotspot
639,θέλω αποπληρώσως σταθερός μου,14,διακανονισμός οφειλής
640,πώς μπορώ καταχωρήσω αίτηση,7,αίτηση
641,θέλω κάνω εξόφληση λογαριασμός,3,ανάλυση λογαριασμού
642,θέλω καταχωρήσω αίτημα,7,αίτηση
643,θέλω ενημερωθώ διακανονισμός,1,ενημέρωση υπολοίπου
644,χρόνος λέω,0,αγορά χρόνου ομιλίας
645,ανάλυση εισερχόμενος μηνυμάτο,9,πρόγραμμα
646,βγήκε επιδότηση τηλέφωνό μου,2,λογαριασμός κινητού
647,κάνω εξόφληση λογαριασμός τηλέφωνό μου,2,λογαριασμός κινητού
648,πώς μπορώ κάνω διακανονισμός σταθερής τηλεφωνία,2,λογαριασμός κινητού
649,πόσος χρήμα χρωστάω τελικά,10,χρέος
650,αγορά πρόγραμμα χρόνος ομιλία,0,αγορά χρόνου ομιλίας
651,έχω επιδότηση,10,χρέος
652,άμεσος πραγματοποίηση ανανέωση,16,ανανέωση
653,επιθυμώ βάλω χρόνος ομιλία,0,αγορά χρόνου ομιλίας
654,μπορώ κάνω βιντεοκλήση,13,βιντεοκλήση
655,πληροφορία ένας ραντεβού,5,ραντεβού
656,θέλω μάθω πόσα χρήμα οφείλω,10,χρέος
657,θέλω ενεργοποίηση,14,διακανονισμός οφειλής
658,απόκρυψη,1,ενημέρωση υπολοίπου
659,θέλω κάνω εξόφληση παραστατικός σταθερού μου,14,διακανονισμός οφειλής
660,θέλω ένας νέος tablet,4,tablet
661,επιθυμώ κάνω αίτημα,7,αίτηση
662,θέλω κάνω ενεργοποίηση πρόγραμμα ομιλία,0,αγορά χρόνου ομιλίας
663,θέλω εγώ βάλετε λεπτό ομιλία καρτοκινητό μου,0,αγορά χρόνου ομιλίας
664,θέλω γίνομαι αποπληρωμή λογαριασμός κινητός μου,2,λογαριασμός κινητού
665,θέλω απενεργοποιώ,19,απενεργοποίηση
666,από πού βλέπω υπόλοιπος,1,ενημέρωση υπολοίπου
667,μου κάνω ενεργοποίηση,14,διακανονισμός οφειλής
668,επιθυμώ βάλω λεπτό ομιλία,0,αγορά χρόνου ομιλίας
669,περιμένω συνάδελφος εγώ έρθει ραντεβού έχω,5,ραντεβού
670,θέλω ενημερωθώ τρόπος μπορώ γίνομαι αίτηση,7,αίτηση
671,πότε έχω προγραμματίζω νέος ραντεβού,5,ραντεβού
672,κάνω εξόφληση λογαριασμός σταθερός μου,3,ανάλυση λογαριασμού
